from_path,to_path,status,decision,reason
/index.html,/ca/,308,redirect,"Duplicate of the v1 home page. Not in the v1 sitemap, so it was missed until Search Console showed 97 impressions and 2 clicks over 180 days"
/ultimahora/,/ca/actualitat/,308,redirect,"News hub -> closest equivalent hub on the new site"
/politica/,/ca/actualitat/,308,redirect,"News category hub with no direct equivalent; closest live hub"
/economia/,/ca/actualitat/,308,redirect,"News category hub with no direct equivalent; closest live hub"
/societat/,/ca/actualitat/,308,redirect,"News category hub with no direct equivalent; closest live hub"
/esports/,/ca/actualitat/,308,redirect,"Out of scope for the new product; closest live hub"
/tecnologia/,/ca/actualitat/,308,redirect,"Out of scope for the new product; closest live hub"
/cultura/,/ca/actualitat/,308,redirect,"Culture coverage moves under Actualitat and Guies"
/successos/,/ca/actualitat/,308,redirect,"Out of scope for the new product; closest live hub"
/opinio/,/ca/actualitat/,308,redirect,"Opinion is not part of the new product; closest live hub"
/calendari/,/ca/agenda/,308,redirect,"Calendar becomes the Agenda hub"
/sobre-nosaltres.html,/ca/qui-som/,308,redirect,"Direct equivalent"
/contacte.html,/ca/contacte/,308,redirect,"Direct equivalent"
/legal/avis-legal.html,/ca/legal/avis-legal/,308,redirect,"Direct equivalent"
/legal/politica-privacitat.html,/ca/legal/privacitat/,308,redirect,"Direct equivalent"
/legal/politica-cookies.html,/ca/legal/cookies/,308,redirect,"Direct equivalent"
/legal/termes-condicions.html,/ca/legal/avis-legal/,308,redirect,"Terms merged into the legal notice"
/legal/transparencia-editorial.html,/ca/legal/politica-editorial/,308,redirect,"Renamed to the editorial policy"
/article/alerten-duna-onada-dimatges-falses-generades-amb-ia-que-difonen-desinformacio-a--2026-03-12.html,,410,gone,"Low-value auto-generated news item removed in the 2.0 rebuild; no equivalent page exists and redirecting it to a hub would be a soft 404"
/article/detecten-el-primer-cas-de-pesta-porcina-africana-a-larea-de-barcelona-i-tanquen--2026-03-12.html,,410,gone,"Low-value auto-generated news item removed in the 2.0 rebuild; no equivalent page exists and redirecting it to a hub would be a soft 404"
/article/la-marato-de-barcelona-2026-prepara-record-de-participacio-amb-milers-de-corredo-2026-03-12.html,,410,gone,"Low-value auto-generated news item removed in the 2.0 rebuild; no equivalent page exists and redirecting it to a hub would be a soft 404"
/article/victor-font-torna-a-atacar-joan-laporta-en-plena-campanya-per-les-eleccions-del--2026-03-12.html,,410,gone,"Low-value auto-generated news item removed in the 2.0 rebuild; no equivalent page exists and redirecting it to a hub would be a soft 404"
/article/el-barca-dhandbol-domina-el-granollers-42-31-i-consolida-el-lideratge-a-la-lliga-2026-03-11.html,,410,gone,"Low-value auto-generated news item removed in the 2.0 rebuild; no equivalent page exists and redirecting it to a hub would be a soft 404"
/article/el-barca-rescata-un-empat-agonic-contra-el-newcastle-a-la-champions-amb-un-penal-2026-03-11.html,,410,gone,"Low-value auto-generated news item removed in the 2.0 rebuild; no equivalent page exists and redirecting it to a hub would be a soft 404"
/article/el-festival-cruilla-anuncia-els-primers-artistes-confirmats-per-a-ledicio-daques-2026-03-11.html,,410,gone,"Low-value auto-generated news item removed in the 2.0 rebuild; no equivalent page exists and redirecting it to a hub would be a soft 404"
/article/el-parlament-debat-noves-mesures-dhabitatge-per-frenar-el-preu-del-lloguer-a-cat-2026-03-11.html,,410,gone,"Low-value auto-generated news item removed in the 2.0 rebuild; no equivalent page exists and redirecting it to a hub would be a soft 404"
/article/el-risc-denfonsament-duna-escola-digualada-obliga-a-tancar-el-centre-almenys-fin-2026-03-11.html,,410,gone,"Low-value auto-generated news item removed in the 2.0 rebuild; no equivalent page exists and redirecting it to a hub would be a soft 404"
/article/els-mossos-investiguen-una-onada-de-robatoris-de-coure-a-montcada-i-reixac-duran-2026-03-11.html,,410,gone,"Low-value auto-generated news item removed in the 2.0 rebuild; no equivalent page exists and redirecting it to a hub would be a soft 404"
/article/els-transportistes-catalans-alerten-que-laugment-del-combustible-ha-disparat-els-2026-03-11.html,,410,gone,"Low-value auto-generated news item removed in the 2.0 rebuild; no equivalent page exists and redirecting it to a hub would be a soft 404"
/article/la-nit-de-les-lletres-catalanes-celebrara-la-seva-75a-edicio-al-mnac-de-barcelon-2026-03-11.html,,410,gone,"Low-value auto-generated news item removed in the 2.0 rebuild; no equivalent page exists and redirecting it to a hub would be a soft 404"
/article/mor-un-motorista-en-xocar-amb-un-cabirol-a-la-carretera-c-61-a-vallgorguina-2026-03-11.html,,410,gone,"Low-value auto-generated news item removed in the 2.0 rebuild; no equivalent page exists and redirecting it to a hub would be a soft 404"
/article/restablerta-la-circulacio-de-la-linia-r3-de-rodalies-entre-la-garriga-i-ripoll-d-2026-03-11.html,,410,gone,"Low-value auto-generated news item removed in the 2.0 rebuild; no equivalent page exists and redirecting it to a hub would be a soft 404"
/article/barca-atletic-de-madrid-el-partit-de-laliga-centra-lactualitat-esportiva-a-catal-2026-03-09.html,,410,gone,"Low-value auto-generated news item removed in the 2.0 rebuild; no equivalent page exists and redirecting it to a hub would be a soft 404"
/article/catalunya-impulsa-un-nou-hub-dintelligencia-artificial-a-barcelona-per-reforcar--2026-03-09.html,,410,gone,"Low-value auto-generated news item removed in the 2.0 rebuild; no equivalent page exists and redirecting it to a hub would be a soft 404"
/article/desaparicions-a-catalunya-els-mossos-van-registrar-3682-casos-el-2025-amb-mes-me-2026-03-09.html,,410,gone,"Low-value auto-generated news item removed in the 2.0 rebuild; no equivalent page exists and redirecting it to a hub would be a soft 404"
/article/educacio-acorda-amb-ccoo-i-ugt-una-pujada-salarial-i-una-rebaixa-de-ratios-a-cat-2026-03-09.html,,410,gone,"Low-value auto-generated news item removed in the 2.0 rebuild; no equivalent page exists and redirecting it to a hub would be a soft 404"
